Name Accession Chromosome Start End Strand Confidence
gma-MIR5380c MI0031053 chr2 45344917 45345009 - -
gma-MIR5559 MI0019713 chr19 776239 776380 + -
gma-MIR5667 MI0019261 chr7 5379134 5379221 - -
gma-MIR5668 MI0019262 chr16 29347569 29347681 + -
gma-MIR5669 MI0019263 chr2 41839111 41839181 + -
gma-MIR5670a MI0019264 chr1 6401527 6401662 + -
gma-MIR5670b MI0031055 chr2 10713946 10714143 - -
gma-MIR5671a MI0019265 chr11 27953059 27953177 - -
gma-MIR5671b MI0031010 chr18 4359887 4360116 + -
gma-MIR5672 MI0019266 chr5 11809060 11809192 - -
gma-MIR5673 MI0019268 chr1 39450461 39450567 + -
gma-MIR5674a MI0019271 chr9 39974819 39975026 - -
gma-MIR5674b MI0019793 chr9 40101457 40101661 + -
gma-MIR5675 MI0019272 chr11 70226 70476 + -
gma-MIR5676 MI0019274 chr8 27954774 27954919 - -
gma-MIR5677 MI0019277 chr2 14817220 14817443 - -
gma-MIR5678 MI0019278 chr14 6867862 6868103 + -
gma-MIR5679 MI0019279 chr8 25692576 25692654 - -
gma-MIR5761a MI0019702 chr10 51252115 51252310 - -
gma-MIR5761b MI0019718 chr3 3831731 3831830 + -
gma-MIR5762 MI0019703 chr12 653862 653999 + -
gma-MIR5763a MI0019704 chr13 36443341 36443441 - -
gma-MIR5763b MI0019705     -
gma-MIR5763c MI0019737     -
gma-MIR5764 MI0019706 chr14 33216347 33216493 + -
gma-MIR5764b MI0033493 chr14 36204271 36204693 - -
gma-MIR5765 MI0019707 chr15 31455959 31456041 - -
gma-MIR5766 MI0019708 chr16 2063448 2063687 - -
gma-MIR5767 MI0019709 chr16 30784546 30784656 - -
gma-MIR5768 MI0019710 chr17 8459044 8459129 - -
gma-MIR5769 MI0019711 chr18 7386834 7387003 + -
gma-MIR5770a MI0019712 chr18 46351571 46351817 - -
gma-MIR5770b MI0019734 chr7 16812503 16812763 - -
gma-MIR5770c MI0032959 chr14 44741121 44741396 + -
gma-MIR5771 MI0019716 chr2 38012669 38012749 + -
gma-MIR5772 MI0019719 chr3 19529805 19529922 - -
gma-MIR5773 MI0019720 chr3 44861560 44861732 + -
gma-MIR5774a MI0019721 chr4 11410437 11410586 + -
gma-MIR5774b MI0019738 chr9 49753426 49753582 - -
gma-MIR5775 MI0019724 chr4 9837427 9837557 - -
gma-MIR5776 MI0019726 chr5 3506706 3506943 - -
gma-MIR5777 MI0019727 chr5 4583480 4583724 - -
gma-MIR5778 MI0019728 chr6 47797818 47797940 + -
gma-MIR5779 MI0019729 chr6 12762118 12762316 - -
gma-MIR5780a MI0019730 chr6 29583605 29583732 - -
gma-MIR5780b MI0031003 chr13 36156892 36157107 - -
gma-MIR5780c MI0031014 chr14 16753071 16753257 - -
gma-MIR5780d MI0031058 chr9 5111839 5112077 + -
gma-MIR5781 MI0019731 chr6 36774683 36774764 - -
gma-MIR5782 MI0019732 chr7 12611603 12611743 - -
gma-MIR5783 MI0019733 chr7 41030514 41030597 + -
gma-MIR5784 MI0019735 chr8 30764439 30764548 + -
gma-MIR5785 MI0019736 chr8 45205542 45205683 - -
gma-MIR5786 MI0019767 chr19 1947621 1947760 + -
gma-MIR6299 MI0021723 chr6 12107873 12107969 + -
gma-MIR6300 MI0021724 chr8 3181460 3181710 - -
gma-MIR9722 MI0030999 chr10 43888364 43888496 - -
gma-MIR9723 MI0031000 chr13 3072531 3072704 - -
gma-MIR9724 MI0031001 chr13 143814 143952 + -
gma-MIR9724b MI0033479 chr10 45152450 45152602 - -
gma-MIR9725 MI0031002 chr13 23728215 23728373 - -
gma-MIR9726 MI0031004 chr1 26855725 26855800 + -
gma-MIR9727 MI0031007 chr14 6410597 6410796 - -
gma-MIR9728 MI0031008 chr14 7083497 7083682 + -
gma-MIR9729 MI0031009 chr16 30067721 30067848 - -
gma-MIR9730 MI0031011 chr20 37550244 37550481 - -
gma-MIR9731 MI0031012 chr13 42798110 42798201 + -
gma-MIR9732 MI0031013 chr14 22614328 22614431 - -
gma-MIR9733 MI0031015 chr14 47539902 47540063 - -
gma-MIR9734 MI0031016 chr14 48700793 48700984 - -
gma-MIR9735 MI0031017 chr2 8544212 8544403 - -
gma-MIR9736 MI0031018 chr15 46142093 46142211 + -
gma-MIR9737 MI0031019 chr16 14848422 14848534 + -
gma-MIR9738 MI0031020 chr16 32364380 32364552 + -
gma-MIR9739 MI0031021 chr16 36092901 36093006 + -
gma-MIR9740 MI0031022 chr16 4672076 4672223 + -
gma-MIR9741 MI0031023 chr17 26884487 26884597 - -
gma-MIR9742 MI0031024 chr17 8542518 8542615 + -
gma-MIR9743 MI0031025 chr18 18164989 18165227 + -
gma-MIR9744 MI0031026 chr18 53225973 53226206 + -
gma-MIR9745 MI0031027 chr19 49664580 49664729 + -
gma-MIR9746a MI0031028 chr3 2836542 2836651 + -
gma-MIR9746b MI0031029 chr3 2840637 2840746 + -
gma-MIR9746c MI0031030 chr3 2849581 2849690 + -
gma-MIR9746d MI0031031 chr3 2853469 2853578 + -
gma-MIR9746e MI0031032 chr3 2883120 2883229 + -
gma-MIR9746f MI0031033 chr3 2902023 2902132 + -
gma-MIR9746g MI0031034 chr3 2905626 2906098 + -
gma-MIR9746h MI0031035 chr8 11768911 11769382 - -
gma-MIR9746i MI0031045 chr3 2894473 2894611 + -
gma-MIR9747 MI0031036 chr20 32190614 32190770 + -
gma-MIR9748 MI0031037 chr20 3657809 3657904 + -
gma-MIR9749 MI0031038 chr17 13919131 13919250 - -
gma-MIR9750 MI0031040 chr6 14495616 14495778 - -
gma-MIR9751 MI0031042 chr2 14947740 14947836 - -
gma-MIR9752 MI0031043 chr15 44648684 44648770 + -
gma-MIR9753 MI0031046 chr14 38183556 38183784 - -
gma-MIR9754 MI0031047 chr1 1375012 1375237 - -
gma-MIR9755 MI0031048 chr1 23400197 23400289 - -
gma-MIR9756 MI0031049 chr18 43318601 43318837 + -
gma-MIR9757 MI0031052 chr2 45220498 45220639 + -
gma-MIR9758 MI0031054     -
gma-MIR9759 MI0031056 chr3 43981012 43981242 + -
gma-MIR9760 MI0031057 chr5 38654713 38654911 - -
gma-MIR9761 MI0031059 chr9 5714918 5715139 - -
gma-MIR9762 MI0031061 chr2 39069334 39069553 + -
gma-MIR9763 MI0031062 chr4 6002646 6002735 + -
gma-MIR9764 MI0031063 chr5 34615857 34615943 + -
gma-MIR9765 MI0031064 chr10 3590200 3590303 + -
gma-MIR9766 MI0031065 chr10 43291950 43292138 + -
gma-MIR9767 MI0031066 chr10 44574153 44574316 + -
gma-MIR10186a MI0032951 chr10 1434534 1434651 + -
gma-MIR10186b MI0033434 chr1 25275608 25275733 + -
gma-MIR10186c MI0033437 chr1 17491021 17491150 - -
gma-MIR10186d MI0033445 chr3 32481374 32481500 + -
gma-MIR10186e MI0033460 chr6 14673587 14673715 - -
gma-MIR10186f MI0033469 chr9 6948717 6948842 + -
gma-MIR10186g MI0033478 chr10 43514642 43514769 + -
gma-MIR10186h MI0033488 chr13 15432045 15432172 + -
gma-MIR10186i MI0033491 chr14 1996945 1997102 + -
gma-MIR10186j MI0033510 chr19 27923428 27923555 + -
gma-MIR10186k MI0033511     -
gma-MIR10186l MI0033512 chr19 27924141 27924268 + -
gma-MIR10187 MI0032952 chr10 12584866 12585142 + -
gma-MIR10188 MI0032953 chr10 13443795 13444022 + -
gma-MIR10189 MI0032954 chr10 42439209 42439331 + -
gma-MIR10190 MI0032955 chr10 49006840 49007093 - -
gma-MIR10191 MI0032956 chr11 5846467 5846539 + -
gma-MIR10192 MI0032958 chr13 42205897 42205989 + -
gma-MIR10193a MI0032960 chr16 22348358 22348449 + -
gma-MIR10193b MI0033475     -
gma-MIR10193c MI0033508 chr19 7566167 7566273 + -
gma-MIR10193d MI0033509 chr19 7654532 7654638 + -
gma-MIR10193e MI0033455 chr4 21763665 21763743 + -
gma-MIR10193f MI0033517 chr20 24780549 24780651 - -
gma-MIR10194 MI0032961 chr17 13116829 13117008 + -
gma-MIR10195 MI0032962 chr17 36369753 36369927 - -
gma-MIR10196 MI0032963 chr19 33987877 33988127 + -
gma-MIR10197 MI0032964 chr1 33086656 33086756 + -
gma-MIR10198 MI0032965 chr3 8797473 8797750 + -
gma-MIR10199 MI0032966 chr3 38934099 38934165 + -
gma-MIR10200 MI0032967 chr6 48672114 48672266 - -
gma-MIR10201 MI0032969 chr6 22396788 22396933 - -
gma-MIR10405a MI0033431 chr1 3329190 3329282 + -
gma-MIR10405b MI0033465 chr8 11407785 11407872 + -
gma-MIR10405c MI0033466 chr8 40949576 40949657 - -
gma-MIR10405d MI0033496 chr15 49845472 49845567 + -
gma-MIR10405e MI0033449 chr4 16369687 16369759 + -
gma-MIR10406a MI0033433 chr1 9681298 9681487 + -
gma-MIR10406b MI0033477 chr10 35380775 35380964 - -
gma-MIR10407a MI0033435 chr1 27712399 27712497 + -
gma-MIR10407b MI0033498 chr15 31453396 31453505 - -
gma-MIR10407c MI0033442 chr2 32116342 32116524 + -
gma-MIR10407d MI0033447 chr3 8041380 8041482 - -
gma-MIR10408 MI0033436 chr1 12590738 12590810 - -
gma-MIR10409 MI0033438     -
gma-MIR10410a MI0033439 chr1 45168658 45168732 - -
gma-MIR10410b MI0033471 chr9 21876227 21876301 - -
gma-MIR10410c MI0033497 chr15 16776561 16776635 - -
gma-MIR10411 MI0033440 chr2 392903 393160 + -
gma-MIR10412 MI0033441 chr2 13640508 13640589 + -
gma-MIR10413a MI0033443 chr2 32091522 32091603 - -
gma-MIR10413b MI0033451 chr4 32186203 32186273 - -
gma-MIR10414 MI0033444 chr3 28825809 28825910 + -
gma-MIR10415 MI0033448 chr3 35139836 35140003 - -
gma-MIR10416 MI0033450 chr4 45286970 45287091 + -
gma-MIR10417 MI0033452 chr4 37097209 37097297 - -
gma-MIR10418 MI0033453 chr4 23817190 23817280 + -
gma-MIR10419 MI0033457 chr5 40444478 40444653 - -
gma-MIR10420 MI0033458 chr5 40061733 40061839 - -
gma-MIR10421 MI0033459 chr6 29177604 29177739 + -
gma-MIR10422 MI0033461 chr6 27463074 27463202 + -
gma-MIR10423 MI0033462 chr7 6384186 6384284 - -
gma-MIR10424a MI0033463 chr7 14078227 14078383 + -
gma-MIR10424b MI0033481 chr12 5112032 5112190 + -
gma-MIR10424c MI0033504 chr18 20565122 20565274 + -
gma-MIR10424d MI0033514 chr19 9716958 9717107 - -
gma-MIR10425 MI0033467 chr8 47654258 47654356 - -
gma-MIR10426 MI0033474 chr10 4400235 4400307 - -
gma-MIR10427a MI0033476 chr10 20731632 20731768 + -
gma-MIR10427b MI0033486 chr12 27140483 27140549 + -
gma-MIR10428 MI0033482 chr12 9669216 9669665 + -
gma-MIR10429 MI0033484 chr12 13957365 13957535 - -
gma-MIR10430 MI0033487 chr13 17369247 17369377 - -
gma-MIR10431 MI0033489 chr13 28434772 28434882 - -
gma-MIR10432 MI0033490 chr13 36656480 36656684 - -
gma-MIR10433 MI0033492 chr14 34719805 34719886 - -
gma-MIR10434 MI0033494 chr15 12973930 12974082 + -
gma-MIR10435 MI0033495 chr15 27343801 27344040 + -
gma-MIR10436 MI0033499 chr15 31181524 31181740 + -
gma-MIR10437 MI0033501 chr16 16521961 16522166 - -
gma-MIR10438 MI0033502 chr17 21204583 21204719 - -
gma-MIR10439 MI0033503 chr18 16724414 16724547 + -
gma-MIR10440 MI0033505 chr18 48514053 48514390 + -
gma-MIR10441 MI0033506 chr18 3041435 3041589 - -
gma-MIR10442 MI0033507 chr18 29660557 29660787 + -
gma-MIR10443 MI0033513 chr19 49795077 49795182 + -
gma-MIR10444 MI0033515 chr19 34578330 34578452 - -
gma-MIR10445 MI0033516 chr20 5351525 5351604 - -
gma-MIR10446 MI0033518 chr20 31367694 31367797 - -
gma-MIR10447 MI0033519 chr20 33668881 33669186 - -
gma-MIR10448 MI0033521 chr10 10356246 10356377 + -
