miRNA_locus_ID	miRNA_locus_accession	miRNA_family	Organism	Chromosome	Start	End	Strand
Gma-MIR1508b	PmiREN006690	MIR1508	Glycine max	Gma-Gm09	28530164	28530277	+
Gma-MIR1509a	PmiREN006691	MIR1509	Glycine max	Gma-Gm17	10099749	10099881	+
Gma-MIR1509b	PmiREN006692	MIR1509	Glycine max	Gma-Gm05	7774086	7774216	-
Gma-MIR1510a	PmiREN006693	MIR1510	Glycine max	Gma-Gm16	31518900	31519009	+
Gma-MIR1510b	PmiREN006694	MIR1510	Glycine max	Gma-Gm02	6599292	6599401	+
Gma-MIR1511	PmiREN006695	MIR1511	Glycine max	Gma-Gm18	21161222	21161345	+
Gma-MIR1512	PmiREN006696	MIR1512	Glycine max	Gma-Gm02	8609634	8609759	-
Gma-MIR1513a	PmiREN006697	MIR1513	Glycine max	Gma-Gm07	43245799	43245913	+
Gma-MIR1513b	PmiREN006698	MIR1513	Glycine max	Gma-Gm18	58491927	58492115	+
Gma-MIR1514a	PmiREN006699	MIR1514	Glycine max	Gma-Gm07	43175798	43175918	-
Gma-MIR1514b	PmiREN006700	MIR1514	Glycine max	Gma-Gm17	1497658	1497788	+
Gma-MIR1515a	PmiREN006701	MIR1515	Glycine max	Gma-Gm01	48531371	48531537	+
Gma-MIR1515b	PmiREN006702	MIR1515	Glycine max	Gma-Gm11	6646784	6646950	-
Gma-MIR1516a	PmiREN006703	MIR1516	Glycine max	Gma-Gm20	43282225	43282351	-
Gma-MIR1516b	PmiREN006704	MIR1516	Glycine max	Gma-Gm09	2534283	2534433	-
Gma-MIR1520a	PmiREN006706	MIR1520	Glycine max	Gma-Gm14	3330909	3331042	-
Gma-MIR1520b	PmiREN006709	MIR1520	Glycine max	Gma-Gm13	33985381	33985540	+
Gma-MIR1520c	PmiREN006712	MIR1520	Glycine max	Gma-Gm16	18330177	18330378	+
Gma-MIR1520d	PmiREN006707	MIR1520	Glycine max	Gma-Gm07	119452	119562	-
Gma-MIR1520e	PmiREN006713	MIR1520	Glycine max	Gma-Gm14	48153009	48153104	+
Gma-MIR1520f	PmiREN006711	MIR1520	Glycine max	Gma-Gm18	55686672	55686781	+
Gma-MIR1520g	PmiREN006708	MIR1520	Glycine max	Gma-Gm12	32752042	32752149	-
Gma-MIR1520h	PmiREN006714	MIR1520	Glycine max	Gma-Gm11	5124262	5124437	-
Gma-MIR1520i	PmiREN006710	MIR1520	Glycine max	Gma-Gm19	5270314	5270431	+
Gma-MIR1523	PmiREN006715	MIR1523	Glycine max	Gma-Gm02	12253285	12253408	-
Gma-MIR1527	PmiREN006716	MIR1527	Glycine max	Gma-Gm07	39681063	39681303	+
Gma-MIR1535	PmiREN006717	MIR1535	Glycine max	Gma-Gm19	43786803	43786920	+
Gma-MIR2109	PmiREN006878	MIR2109	Glycine max	Gma-Gm04	28532434	28532542	-
Gma-MIR2111a	PmiREN006879	MIR2111	Glycine max	Gma-Gm01	31787443	31787550	+
Gma-MIR2111b	PmiREN006880	MIR2111	Glycine max	Gma-Gm18	49934381	49934486	-
Gma-MIR2111c	PmiREN006881	MIR2111	Glycine max	Gma-Gm18	49962673	49962777	-
Gma-MIR2111d	PmiREN006882	MIR2111	Glycine max	Gma-Gm01	31765032	31765136	+
Gma-MIR2111e	PmiREN006883	MIR2111	Glycine max	Gma-Gm07	16377782	16377891	-
Gma-MIR2111f	PmiREN006884	MIR2111	Glycine max	Gma-Gm07	16402339	16402443	-
Gma-MIR2118a	PmiREN006885	MIR2118	Glycine max	Gma-Gm20	35349739	35349885	+
Gma-MIR2118b	PmiREN006886	MIR2118	Glycine max	Gma-Gm10	48574013	48574139	-
Gma-MIR2119a	PmiREN006887	MIR2119	Glycine max	Gma-Gm01	7195489	7195618	-
Gma-MIR2119b	PmiREN006888	MIR2119	Glycine max	Gma-Gm02	10988168	10988299	-
Gma-MIR2606a	PmiREN006889	MIR2606	Glycine max	Gma-Gm20	32872766	32872853	+
Gma-MIR2606b	PmiREN006890	MIR2606	Glycine max	Gma-Gm06	37942184	37942271	-
Gma-MIR3522	PmiREN006907	MIR3522	Glycine max	Gma-Gm15	4318777	4318886	+
Gma-MIR4340	PmiREN007002	MIR4340	Glycine max	Gma-Gm19	2050287	2050351	-
Gma-MIR4342	PmiREN007003	MIR4342	Glycine max	Gma-Gm18	14263183	14263249	+
Gma-MIR4345	PmiREN007004	MIR4345	Glycine max	Gma-Gm14	49069086	49069208	+
Gma-MIR4347	PmiREN007005	MIR4347	Glycine max	Gma-Gm12	2839740	2839938	+
Gma-MIR4348a	PmiREN007007	MIR4348	Glycine max	Gma-Gm12	37354982	37355153	-
Gma-MIR4348b	PmiREN007008	MIR4348	Glycine max	Gma-Gm12	37332194	37332411	+
Gma-MIR4348c	PmiREN007009	MIR4348	Glycine max	Gma-Gm02	10789497	10789619	+
Gma-MIR4351	PmiREN007010	MIR4351	Glycine max	Gma-Gm19	45091894	45092056	+
Gma-MIR4352	PmiREN007011	MIR4352	Glycine max	Gma-Gm14	14128764	14128933	+
Gma-MIR4354	PmiREN007012	MIR4354	Glycine max	Gma-Gm09	39346879	39347028	+
Gma-MIR4355	PmiREN007013	MIR4355	Glycine max	Gma-Gm18	1370765	1370956	-
Gma-MIR4358	PmiREN007014	MIR4358	Glycine max	Gma-Gm06	3628376	3628541	-
Gma-MIR4361	PmiREN007016	MIR4361	Glycine max	Gma-Gm16	15732369	15732431	+
Gma-MIR4363	PmiREN007017	MIR4363	Glycine max	Gma-Gm17	19536419	19536567	+
Gma-MIR4364a	PmiREN007018	MIR4364	Glycine max	Gma-Gm13	13706433	13706543	+
Gma-MIR4364b	PmiREN007019	MIR4364	Glycine max	Gma-Gm18	50947762	50947864	+
Gma-MIR4366a	PmiREN007020	MIR4366	Glycine max	Gma-Gm05	29185098	29185217	-
Gma-MIR4366b	PmiREN007021	MIR4366	Glycine max	Gma-Gm17	13479250	13479369	-
Gma-MIR4374a	PmiREN007023	MIR4374	Glycine max	Gma-Gm01	41170542	41170715	-
Gma-MIR4374b	PmiREN007024	MIR4374	Glycine max	Gma-Gm15	41096649	41096908	+
Gma-MIR4375	PmiREN007025	MIR4375	Glycine max	Gma-Gm09	36277144	36277211	-
Gma-MIR4379	PmiREN007026	MIR4379	Glycine max	Gma-Gm07	1501187	1501271	-
Gma-MIR4380	PmiREN007027	MIR4380	Glycine max	Gma-Gm19	4393949	4394024	+
Gma-MIR4382a	PmiREN007028	MIR4382	Glycine max	Gma-Gm06	18676276	18676456	-
Gma-MIR4382b	PmiREN007029	MIR4382	Glycine max	Gma-Gm04	14788564	14788750	-
Gma-MIR4382c	PmiREN007030	MIR4382	Glycine max	Gma-Gm09	14305342	14305512	-
Gma-MIR4382d	PmiREN007031	MIR4382	Glycine max	Gma-Gm19	15954845	15954930	-
Gma-MIR4384	PmiREN007032	MIR4384	Glycine max	Gma-Gm12	9019818	9019884	+
Gma-MIR4385	PmiREN007033	MIR4385	Glycine max	Gma-Gm20	23982589	23982684	-
Gma-MIR4387a	PmiREN007034	MIR4387	Glycine max	Gma-Gm15	47245217	47245327	-
Gma-MIR4387b	PmiREN007035	MIR4387	Glycine max	Gma-Gm07	4943633	4943744	+
Gma-MIR4387c	PmiREN007036	MIR4387	Glycine max	Gma-Gm03	25186869	25186990	+
Gma-MIR4388	PmiREN007037	MIR4388	Glycine max	Gma-Gm10	45933240	45933399	-
Gma-MIR4392a	PmiREN007038	MIR4392	Glycine max	Gma-Gm09	46771221	46771358	+
Gma-MIR4392b	PmiREN007039	MIR4392	Glycine max	Gma-Gm20	156621	156760	-
Gma-MIR4393	PmiREN007040	MIR4393	Glycine max	Gma-Gm10	1370786	1370921	-
Gma-MIR4399	PmiREN007041	MIR4399	Glycine max	Gma-Gm03	25185807	25185974	+
Gma-MIR4400	PmiREN007042	MIR4400	Glycine max	Gma-Gm20	1764848	1765004	+
Gma-MIR4401a	PmiREN007044	MIR4401	Glycine max	Gma-Gm14	24664928	24665043	+
Gma-MIR4401b	PmiREN007043	MIR4401	Glycine max	Gma-Gm19	34702331	34702420	+
Gma-MIR4404	PmiREN007045	MIR4404	Glycine max	Gma-Gm13	1839533	1839594	+
Gma-MIR4406	PmiREN007046	MIR4406	Glycine max	Gma-Gm01	39315552	39315675	+
Gma-MIR4407	PmiREN007047	MIR4407	Glycine max	Gma-Gm20	46020233	46020370	+
Gma-MIR4411	PmiREN007048	MIR4411	Glycine max	Gma-Gm01	12555873	12555964	+
Gma-MIR4412	PmiREN007049	MIR4412	Glycine max	Gma-Gm04	28578961	28579084	-
Gma-MIR4413a	PmiREN007050	MIR4413	Glycine max	Gma-Gm19	1788509	1788626	-
Gma-MIR4413b	PmiREN007051	MIR4413	Glycine max	Gma-Gm13	5170446	5170543	+
Gma-MIR4414	PmiREN007052	MIR4414	Glycine max	Gma-Gm20	35662992	35663140	+
Gma-MIR4415a	PmiREN007053	MIR4415	Glycine max	Gma-Gm18	60474185	60474384	+
Gma-MIR4415b	PmiREN007054	MIR4415	Glycine max	Gma-Gm08	23142756	23142935	+
Gma-MIR4416a	PmiREN007055	MIR4416	Glycine max	Gma-Gm19	40699070	40699221	-
Gma-MIR4416b	PmiREN007056	MIR4416	Glycine max	Gma-Gm02	30498945	30499130	-
Gma-MIR4994	PmiREN007062	MIR4994	Glycine max	Gma-Gm16	35590557	35590679	+
Gma-MIR4996	PmiREN007063	MIR4996	Glycine max	Gma-Gm15	5418771	5418977	+
Gma-MIR4997a	PmiREN007064	MIR4997	Glycine max	Gma-Gm17	19138520	19138625	+
Gma-MIR4997b	PmiREN007065	MIR4997	Glycine max	Gma-Gm12	17996338	17996443	+
Gma-MIR4997c	PmiREN007066	MIR4997	Glycine max	Gma-Gm18	43436088	43436193	+
Gma-MIR4998	PmiREN007067	MIR4998	Glycine max	Gma-Gm15	16900183	16900302	-
Gma-MIR5030	PmiREN007068	MIR5030	Glycine max	Gma-Gm12	36087812	36087963	+
Gma-MIR5034	PmiREN007069	MIR5034	Glycine max	Gma-Gm06	46032088	46032181	+
Gma-MIR5036a	PmiREN007070	MIR5036	Glycine max	Gma-Gm08	1771390	1771494	+
Gma-MIR5036b	PmiREN007071	MIR5036	Glycine max	Gma-Gm05	40687109	40687238	-
Gma-MIR5037a	PmiREN007072	MIR5037	Glycine max	Gma-Gm08	46838001	46838118	+
Gma-MIR5037b	PmiREN007074	MIR5037	Glycine max	Gma-Gm08	46832305	46832421	+
Gma-MIR5037c	PmiREN007073	MIR5037	Glycine max	Gma-Gm08	46848246	46848369	+
Gma-MIR5038a	PmiREN007075	MIR5038	Glycine max	Gma-Gm09	28264416	28264528	+
Gma-MIR5038b	PmiREN007076	MIR5038	Glycine max	Gma-Gm09	28272470	28272582	+
Gma-MIR5042	PmiREN007077	MIR5042	Glycine max	Gma-Gm18	10413936	10414038	+
Gma-MIR5043	PmiREN007078	MIR5043	Glycine max	Gma-Gm20	45843185	45843277	+
Gma-MIR5044	PmiREN007079	MIR5044	Glycine max	Gma-Gm18	61655969	61656083	-
Gma-MIR5225	PmiREN007080	MIR5225	Glycine max	Gma-Gm19	1921592	1921726	+
Gma-MIR5248	PmiREN007081	MIR5248	Glycine max	Gma-Gm03	18585217	18585445	+
Gma-MIR5261	PmiREN007082	MIR5261	Glycine max	Gma-scaffold_220	3386	3494	+
Gma-MIR5281a	PmiREN007083	MIR5281	Glycine max	Gma-Gm06	21856522	21856640	+
Gma-MIR5281b	PmiREN007084	MIR5281	Glycine max	Gma-Gm06	21858933	21859051	+
Gma-MIR5369	PmiREN007091	MIR5369	Glycine max	Gma-Gm11	29821812	29821926	+
Gma-MIR5370	PmiREN007092	MIR5370	Glycine max	Gma-Gm14	6763304	6763456	+
Gma-MIR5372	PmiREN007093	MIR5372	Glycine max	Gma-Gm16	5744799	5744863	-
Gma-MIR5373	PmiREN007094	MIR5373	Glycine max	Gma-Gm16	27653033	27653119	+
Gma-MIR5374	PmiREN007095	MIR5374	Glycine max	Gma-Gm05	9279508	9279749	+
Gma-MIR5375	PmiREN007096	MIR5375	Glycine max	Gma-Gm16	2916842	2917038	+
Gma-MIR5377	PmiREN007097	MIR5377	Glycine max	Gma-Gm04	30654337	30654551	-
Gma-MIR5379	PmiREN007098	MIR5379	Glycine max	Gma-Gm16	28536012	28536179	-
Gma-MIR5559	PmiREN007099	MIR5559	Glycine max	Gma-Gm19	739268	739431	+
Gma-MIR5667	PmiREN007100	MIR5667	Glycine max	Gma-Gm07	5340333	5340437	-
Gma-MIR5669	PmiREN007101	MIR5669	Glycine max	Gma-Gm02	44915170	44915263	+
Gma-MIR5670a	PmiREN007102	MIR5670	Glycine max	Gma-Gm01	6388098	6388246	+
Gma-MIR5670b	PmiREN007103	MIR5670	Glycine max	Gma-Gm02	10632236	10632460	-
Gma-MIR5671a	PmiREN007104	MIR5671	Glycine max	Gma-Gm11	32789064	32789203	-
Gma-MIR5671b	PmiREN007105	MIR5671	Glycine max	Gma-Gm18	4340499	4340755	+
Gma-MIR5672	PmiREN007106	MIR5672	Glycine max	Gma-Gm05	10217618	10217768	+
Gma-MIR5673	PmiREN007107	MIR5673	Glycine max	Gma-Gm01	38071265	38071393	+
Gma-MIR5674a	PmiREN007108	MIR5674	Glycine max	Gma-Gm09	37395781	37395988	-
Gma-MIR5674b	PmiREN007109	MIR5674	Glycine max	Gma-Gm09	37506191	37506395	+
Gma-MIR5675	PmiREN007110	MIR5675	Glycine max	Gma-Gm11	70323	70517	+
Gma-MIR5677	PmiREN007111	MIR5677	Glycine max	Gma-Gm02	14614756	14614995	-
Gma-MIR5678	PmiREN007112	MIR5678	Glycine max	Gma-Gm14	6757372	6757635	+
Gma-MIR5761a	PmiREN007113	MIR5761	Glycine max	Gma-Gm10	50654863	50655077	-
Gma-MIR5761b	PmiREN007114	MIR5761	Glycine max	Gma-Gm03	3811058	3811157	+
Gma-MIR5762	PmiREN007115	MIR5762	Glycine max	Gma-Gm12	648885	649040	+
Gma-MIR5763a	PmiREN007116	MIR5763	Glycine max	Gma-Gm13	35311443	35311618	-
Gma-MIR5763b	PmiREN007117	MIR5763	Glycine max	Gma-Gm09	38347969	38348144	-
Gma-MIR5763c	PmiREN007118	MIR5763	Glycine max	Gma-Gm13	35234675	35234850	-
Gma-MIR5766	PmiREN007119	MIR5766	Glycine max	Gma-Gm16	2041094	2041351	-
Gma-MIR5768	PmiREN007120	MIR5768	Glycine max	Gma-Gm17	8729574	8729659	-
Gma-MIR5769	PmiREN007121	MIR5769	Glycine max	Gma-Gm18	7364612	7364781	+
Gma-MIR5770a	PmiREN007122	MIR5770	Glycine max	Gma-Gm18	50625457	50625721	-
Gma-MIR5770b	PmiREN007124	MIR5770	Glycine max	Gma-Gm07	16726883	16727143	-
Gma-MIR5770c	PmiREN007123	MIR5770	Glycine max	Gma-Gm14	45462999	45463085	+
Gma-MIR5773	PmiREN007125	MIR5773	Glycine max	Gma-Gm03	46862478	46862671	+
Gma-MIR5776	PmiREN007126	MIR5776	Glycine max	Gma-Gm05	1783636	1783894	-
Gma-MIR5778	PmiREN007127	MIR5778	Glycine max	Gma-Gm06	47266912	47267056	+
Gma-MIR5780a	PmiREN007128	MIR5780	Glycine max	Gma-Gm06	28710119	28710261	-
Gma-MIR5780b	PmiREN007129	MIR5780	Glycine max	Gma-Gm13	34948198	34948409	-
Gma-MIR5780c	PmiREN007130	MIR5780	Glycine max	Gma-Gm14	33572212	33572427	-
Gma-MIR5781	PmiREN007131	MIR5781	Glycine max	Gma-Gm06	35859200	35859281	-
Gma-MIR5782	PmiREN007132	MIR5782	Glycine max	Gma-Gm07	12691799	12691939	+
Gma-MIR5783	PmiREN007133	MIR5783	Glycine max	Gma-Gm07	41080120	41080221	+
Gma-MIR5784	PmiREN007134	MIR5784	Glycine max	Gma-Gm08	30116879	30116988	+
Gma-MIR5786a	PmiREN007135	MIR5786	Glycine max	Gma-Gm19	1902494	1902655	+
Gma-MIR5786b	PmiREN007136	MIR5786	Glycine max	Gma-Gm19	1910711	1910877	+
Gma-MIR6300	PmiREN007138	MIR6300	Glycine max	Gma-Gm08	3178109	3178359	-
Gma-MIR8175a	PmiREN007139	MIR8175	Glycine max	Gma-Gm10	20737075	20737200	-
Gma-MIR8175b	PmiREN007140	MIR8175	Glycine max	Gma-Gm17	29997064	29997149	+
Gma-MIR8603	PmiREN007143	MIR8603	Glycine max	Gma-Gm17	3903997	3904230	+
Gma-MIR9722	PmiREN007146	MIR9722	Glycine max	Gma-Gm10	43308722	43308858	-
Gma-MIR9723	PmiREN007147	MIR9723	Glycine max	Gma-Gm13	14782671	14782840	-
Gma-MIR9724a	PmiREN007148	MIR9724	Glycine max	Gma-Gm13	11864771	11864925	+
Gma-MIR9724b	PmiREN007150	MIR9724	Glycine max	Gma-Gm10	44574468	44574643	-
Gma-MIR9724c	PmiREN007149	MIR9724	Glycine max	Gma-Gm09	1341688	1341820	-
Gma-MIR9725	PmiREN007151	MIR9725	Glycine max	Gma-Gm13	22172674	22172838	-
Gma-MIR9727	PmiREN007152	MIR9727	Glycine max	Gma-Gm14	6304165	6304326	-
Gma-MIR9728	PmiREN007153	MIR9728	Glycine max	Gma-Gm14	6976551	6976771	+
Gma-MIR9730	PmiREN007154	MIR9730	Glycine max	Gma-Gm20	36456339	36456603	-
Gma-MIR9736a	PmiREN007155	MIR9736	Glycine max	Gma-Gm15	45355273	45355418	+
Gma-MIR9736b	PmiREN007156	MIR9736	Glycine max	Gma-Gm15	45232633	45232892	+
Gma-MIR9736c	PmiREN007157	MIR9736	Glycine max	Gma-Gm15	45259454	45259709	+
Gma-MIR9737a	PmiREN007158	MIR9737	Glycine max	Gma-Gm16	14712762	14712905	+
Gma-MIR9737b	PmiREN007159	MIR9737	Glycine max	Gma-Gm01	52593411	52593554	+
Gma-MIR9737c	PmiREN007160	MIR9737	Glycine max	Gma-Gm07	9022622	9022765	-
Gma-MIR9738	PmiREN007161	MIR9738	Glycine max	Gma-Gm16	31883924	31884096	+
Gma-MIR9739	PmiREN007162	MIR9739	Glycine max	Gma-Gm16	35589589	35589721	+
Gma-MIR9740a	PmiREN007163	MIR9740	Glycine max	Gma-Gm16	4644357	4644535	+
Gma-MIR9740b	PmiREN007164	MIR9740	Glycine max	Gma-Gm16	4594005	4594181	+
Gma-MIR9742	PmiREN007165	MIR9742	Glycine max	Gma-Gm17	8813050	8813147	+
Gma-MIR9745	PmiREN007167	MIR9745	Glycine max	Gma-Gm19	49543838	49543975	+
Gma-MIR9748	PmiREN007168	MIR9748	Glycine max	Gma-Gm20	3670832	3670958	+
Gma-MIR9749	PmiREN007169	MIR9749	Glycine max	Gma-Gm17	14170501	14170620	-
Gma-MIR9750	PmiREN007170	MIR9750	Glycine max	Gma-Gm06	14453317	14453506	-
Gma-MIR9753	PmiREN007171	MIR9753	Glycine max	Gma-Gm14	38887580	38887696	-
Gma-MIR9755	PmiREN007172	MIR9755	Glycine max	Gma-Gm01	24948430	24948537	-
Gma-MIR9756	PmiREN007173	MIR9756	Glycine max	Gma-Gm18	47593844	47594107	+
Gma-MIR9757	PmiREN007174	MIR9757	Glycine max	Gma-Gm02	48299303	48299442	+
Gma-MIR9758	PmiREN007175	MIR9758	Glycine max	Gma-Gm03	2761848	2762065	+
Gma-MIR9760	PmiREN007176	MIR9760	Glycine max	Gma-Gm05	41683438	41683663	+
Gma-MIR9762	PmiREN007177	MIR9762	Glycine max	Gma-Gm02	42141379	42141500	+
Gma-MIR9764a	PmiREN007178	MIR9764	Glycine max	Gma-Gm05	34345156	34345269	+
Gma-MIR9764b	PmiREN007179	MIR9764	Glycine max	Gma-Gm02	40905172	40905303	+
Gma-MIR9764c	PmiREN007180	MIR9764	Glycine max	Gma-Gm10	8697193	8697322	-
Gma-MIR9765	PmiREN007181	MIR9765	Glycine max	Gma-Gm10	3581694	3581805	+
Gma-MIR10186a	PmiREN006613	MIR10186	Glycine max	Gma-Gm06	14631051	14631179	-
Gma-MIR10186b	PmiREN006612	MIR10186	Glycine max	Gma-Gm09	6988199	6988294	+
Gma-MIR10187	PmiREN006614	MIR10187	Glycine max	Gma-Gm10	12407363	12407627	+
Gma-MIR10188	PmiREN006615	MIR10188	Glycine max	Gma-Gm10	13255673	13255900	+
Gma-MIR10190	PmiREN006616	MIR10190	Glycine max	Gma-Gm10	48411149	48411402	-
Gma-MIR10191a	PmiREN006617	MIR10191	Glycine max	Gma-Gm01	49422634	49422728	-
Gma-MIR10191b	PmiREN006618	MIR10191	Glycine max	Gma-Gm11	5837387	5837459	+
Gma-MIR10192	PmiREN006619	MIR10192	Glycine max	Gma-Gm13	40760273	40760387	+
Gma-MIR10193a	PmiREN006620	MIR10193	Glycine max	Gma-Gm16	17958519	17958631	-
Gma-MIR10193b	PmiREN006621	MIR10193	Glycine max	Gma-Gm10	10860665	10860792	-
Gma-MIR10193c	PmiREN006622	MIR10193	Glycine max	Gma-Gm19	7690248	7690375	+
Gma-MIR10193d	PmiREN006623	MIR10193	Glycine max	Gma-Gm10	31000406	31000494	+
Gma-MIR10193e	PmiREN006624	MIR10193	Glycine max	Gma-Gm04	32712409	32712508	-
Gma-MIR10193f	PmiREN006628	MIR10193	Glycine max	Gma-Gm20	23643453	23643521	-
Gma-MIR10193g	PmiREN006625	MIR10193	Glycine max	Gma-Gm13	12198353	12198480	-
Gma-MIR10193h	PmiREN006626	MIR10193	Glycine max	Gma-Gm19	7594515	7594642	+
Gma-MIR10193i	PmiREN006627	MIR10193	Glycine max	Gma-Gm03	15249861	15249987	-
Gma-MIR10193j	PmiREN006629	MIR10193	Glycine max	Gma-Gm07	16720031	16720116	+
Gma-MIR10193k	PmiREN006630	MIR10193	Glycine max	Gma-Gm08	36009868	36009996	+
Gma-MIR10193l	PmiREN006631	MIR10193	Glycine max	Gma-Gm10	17715535	17715786	-
Gma-MIR10195	PmiREN006632	MIR10195	Glycine max	Gma-Gm17	36671700	36671893	+
Gma-MIR10196	PmiREN006633	MIR10196	Glycine max	Gma-Gm19	33820262	33820512	+
Gma-MIR10197	PmiREN006634	MIR10197	Glycine max	Gma-Gm01	31789744	31789865	+
Gma-MIR10198	PmiREN006635	MIR10198	Glycine max	Gma-Gm03	9169973	9170238	+
Gma-MIR10405a	PmiREN006637	MIR10405	Glycine max	Gma-Gm01	3313946	3314054	+
Gma-MIR10405b	PmiREN006638	MIR10405	Glycine max	Gma-Gm08	11492407	11492511	+
Gma-MIR10405c	PmiREN006639	MIR10405	Glycine max	Gma-Gm08	40314187	40314290	-
Gma-MIR10405d	PmiREN006640	MIR10405	Glycine max	Gma-Gm15	49052179	49052283	+
Gma-MIR10405e	PmiREN006641	MIR10405	Glycine max	Gma-Gm04	15333850	15333940	+
Gma-MIR10407	PmiREN006642	MIR10407	Glycine max	Gma-Gm15	28909372	28909481	-
Gma-MIR10408	PmiREN006643	MIR10408	Glycine max	Gma-Gm01	12556014	12556086	-
Gma-MIR10409	PmiREN006644	MIR10409	Glycine max	Gma-Gm01	19558613	19558741	-
Gma-MIR10410	PmiREN006645	MIR10410	Glycine max	Gma-Gm15	16811975	16812049	-
Gma-MIR10412	PmiREN006646	MIR10412	Glycine max	Gma-Gm02	13441337	13441418	+
Gma-MIR10413a	PmiREN006649	MIR10413	Glycine max	Gma-Gm02	35170472	35170553	-
Gma-MIR10413b	PmiREN006647	MIR10413	Glycine max	Gma-Gm03	10744951	10745168	-
Gma-MIR10413c	PmiREN006648	MIR10413	Glycine max	Gma-Gm05	20936224	20936486	+
Gma-MIR10413d	PmiREN006650	MIR10413	Glycine max	Gma-Gm14	26763325	26763461	+
Gma-MIR10416	PmiREN006652	MIR10416	Glycine max	Gma-Gm04	42142577	42142698	+
Gma-MIR10419	PmiREN006653	MIR10419	Glycine max	Gma-Gm05	39895412	39895604	+
Gma-MIR10420	PmiREN006654	MIR10420	Glycine max	Gma-Gm05	40278242	40278348	+
Gma-MIR10421a	PmiREN006655	MIR10421	Glycine max	Gma-Gm06	28307564	28307711	+
Gma-MIR10421b	PmiREN006656	MIR10421	Glycine max	Gma-Gm10	21240916	21241031	-
Gma-MIR10422	PmiREN006657	MIR10422	Glycine max	Gma-Gm06	25124475	25124621	-
Gma-MIR10424a	PmiREN006659	MIR10424	Glycine max	Gma-Gm07	11232839	11233013	-
Gma-MIR10424b	PmiREN006660	MIR10424	Glycine max	Gma-Gm12	5105292	5105468	+
Gma-MIR10424c	PmiREN006661	MIR10424	Glycine max	Gma-Gm18	20817335	20817505	+
Gma-MIR10424d	PmiREN006662	MIR10424	Glycine max	Gma-Gm19	9767457	9767624	-
Gma-MIR10424e	PmiREN006663	MIR10424	Glycine max	Gma-Gm09	27550435	27550605	-
Gma-MIR10424f	PmiREN006664	MIR10424	Glycine max	Gma-Gm07	17786341	17786511	+
Gma-MIR10424g	PmiREN006665	MIR10424	Glycine max	Gma-Gm10	15535189	15535357	+
Gma-MIR10424h	PmiREN006666	MIR10424	Glycine max	Gma-Gm16	7410796	7410966	-
Gma-MIR10424i	PmiREN006667	MIR10424	Glycine max	Gma-Gm16	8096014	8096193	+
Gma-MIR10424j	PmiREN006668	MIR10424	Glycine max	Gma-Gm17	19846244	19846412	+
Gma-MIR10424k	PmiREN006669	MIR10424	Glycine max	Gma-Gm18	22194865	22195036	+
Gma-MIR10427a	PmiREN006671	MIR10427	Glycine max	Gma-Gm10	23514136	23514277	-
Gma-MIR10427b	PmiREN006672	MIR10427	Glycine max	Gma-Gm15	36359481	36359619	+
Gma-MIR10432	PmiREN006673	MIR10432	Glycine max	Gma-Gm13	35514864	35515089	-
Gma-MIR10438	PmiREN006674	MIR10438	Glycine max	Gma-Gm17	21550655	21550791	-
Gma-MIR10439	PmiREN006675	MIR10439	Glycine max	Gma-Gm18	16972711	16972864	+
Gma-MIR10440	PmiREN006676	MIR10440	Glycine max	Gma-Gm18	52797175	52797503	+
Gma-MIR10441	PmiREN006677	MIR10441	Glycine max	Gma-Gm18	3031269	3031423	-
Gma-MIR10444	PmiREN006678	MIR10444	Glycine max	Gma-Gm19	34414703	34414825	-
Gma-MIR10446	PmiREN006679	MIR10446	Glycine max	Gma-Gm20	30231492	30231588	-
Gma-MIR10447a	PmiREN006680	MIR10447	Glycine max	Gma-Gm16	27874423	27874560	-
Gma-MIR10447b	PmiREN006681	MIR10447	Glycine max	Gma-Gm20	32528862	32529167	-
Gma-MIR10447c	PmiREN006682	MIR10447	Glycine max	Gma-scaffold_186	9535	9635	-
Gma-MIR10447d	PmiREN006683	MIR10447	Glycine max	Gma-Gm18	18911730	18911832	+
Gma-MIRN1254	PmiREN007188	MIRN1254	Glycine max	Gma-Gm01	37332358	37332516	+
Gma-MIRN1255	PmiREN007190	MIRN1255	Glycine max	Gma-Gm02	31734832	31734958	-
Gma-MIRN1256	PmiREN007192	MIRN1256	Glycine max	Gma-Gm03	2954483	2954579	+
Gma-MIRN1257	PmiREN007193	MIRN1257	Glycine max	Gma-Gm04	40903289	40903381	+
Gma-MIRN1258	PmiREN007200	MIRN1258	Glycine max	Gma-Gm12	9712224	9712384	-
Gma-MIRN1259	PmiREN007204	MIRN1259	Glycine max	Gma-Gm16	4584824	4585082	+
Gma-MIRN1260a	PmiREN007215	MIRN1260	Glycine max	Gma-Gm17	21551428	21551590	+
Gma-MIRN1260b	PmiREN007304	MIRN1260	Glycine max	Gma-Gm06	46044473	46044636	+
Gma-MIRN1260c	PmiREN007337	MIRN1260	Glycine max	Gma-Gm06	46001205	46001361	-
Gma-MIRN1260d	PmiREN007339	MIRN1260	Glycine max	Gma-Gm08	35714934	35715034	+
Gma-MIRN1260e	PmiREN007341	MIRN1260	Glycine max	Gma-Gm17	36713565	36713677	-
Gma-MIRN1260f	PmiREN007696	MIRN1260	Glycine max	Gma-Gm17	21597510	21597670	-
