Pair_type	miRNA_loci	Canonical_miRNA_ID	Canonical_Seq_ID	Chr	H_start	H_end	Strand	miRNA_A	Seq_ID_A	miRNA_B	Seq_ID_B	Pearson_r	Pearson_p	Library_Jaccard	Shared_libraries	Union_libraries	Libraries_A	Libraries_B
canonical-isomiR	Gma-miRN4409c	Gma-miRN4409c	miR1266_R2_L21	3	38714857	38714962	-	Gma-miRN4409c	miR1266_R2_L21	Gma-miRN4409c.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409e	Gma-miRN4409e	miR1266_R2_L21	7	42562811	42562914	+	Gma-miRN4409e	miR1266_R2_L21	Gma-miRN4409e.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409f	Gma-miRN4409f	miR1266_R2_L21	9	20564518	20564620	+	Gma-miRN4409f	miR1266_R2_L21	Gma-miRN4409f.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409g	Gma-miRN4409g	miR1266_R2_L21	9	42247207	42247315	+	Gma-miRN4409g	miR1266_R2_L21	Gma-miRN4409g.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409h	Gma-miRN4409h	miR1266_R2_L21	15	20279820	20279924	+	Gma-miRN4409h	miR1266_R2_L21	Gma-miRN4409h.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409i	Gma-miRN4409i	miR1266_R2_L21	16	3672909	3672951	+	Gma-miRN4409i	miR1266_R2_L21	Gma-miRN4409i.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409j	Gma-miRN4409j	miR1266_R2_L21	17	40627792	40627894	-	Gma-miRN4409j	miR1266_R2_L21	Gma-miRN4409j.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409k	Gma-miRN4409k	miR1266_R2_L21	18	2470476	2470570	+	Gma-miRN4409k	miR1266_R2_L21	Gma-miRN4409k.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409l	Gma-miRN4409l	miR1266_R2_L21	18	52839351	52839444	-	Gma-miRN4409l	miR1266_R2_L21	Gma-miRN4409l.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4409m	Gma-miRN4409m	miR1266_R2_L21	20	38549910	38550014	-	Gma-miRN4409m	miR1266_R2_L21	Gma-miRN4409m.v1	miR1540_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	4	2	2
canonical-isomiR	Gma-miRN4437l	Gma-miRN4437l	miR676_R8_L21	18	10064437	10064518	-	Gma-miRN4437l	miR676_R8_L21	Gma-miRN4437l.v1	miR831_R6_L21	-0.11111111111111109	0.759922968348739	0.0	0	14	8	6
canonical-isomiR	Gma-miRN4440c	Gma-miRN4440c	miR1051_R4_L21	3	13821400	13821573	+	Gma-miRN4440c	miR1051_R4_L21	Gma-miRN4440c.v1	miR1121_R3_L22	-0.1498951950094402	0.6793728201795393	0.0	0	7	4	3
canonical-isomiR	Gma-miRN6506a	Gma-miRN6506a	miR893_R5_L22	7	13341510	13341902	+	Gma-miRN6506a	miR893_R5_L22	Gma-miRN6506a.v1	miR1400_R2_L22	-0.04709097710349372	0.8972166180289112	0.0	0	6	4	2
canonical-isomiR	gma-miR10197	gma-miR10197	miR265_R47_L21	1	35188200	35188281	+	gma-miR10197	miR265_R47_L21	gma-miR10197.v1	miR473_R17_L21	0.5906568651448172	0.07218741668451481	0.0	0	64	47	17
canonical-isomiR	gma-miR10414b	gma-miR10414b	miR239_R56_L22	17	23230324	23230389	+	gma-miR10414b	miR239_R56_L22	gma-miR10414b.v1	miR314_R34_L22	0.5337628861122499	0.11204086894360941	0.046511627906976744	4	86	56	34
canonical-isomiR	gma-miR10421a	gma-miR10421a	miR60_R317_L22	7	29752855	29753094	-	gma-miR10421a	miR60_R317_L22	gma-miR10421a.v1	miR769_R7_L22	0.054941659402156416	0.8801772518538031	0.0	0	324	317	7
canonical-isomiR	gma-miR10421b	gma-miR10421b	miR60_R317_L22	10	23603616	23603691	+	gma-miR10421b	miR60_R317_L22	gma-miR10421b.v1	miR769_R7_L22	0.054941659402156416	0.8801772518538031	0.0	0	324	317	7
canonical-isomiR	gma-miR10421c	gma-miR10421c	miR60_R317_L22	11	21572553	21572632	+	gma-miR10421c	miR60_R317_L22	gma-miR10421c.v1	miR769_R7_L22	0.054941659402156416	0.8801772518538031	0.0	0	324	317	7
canonical-isomiR	gma-miR10438	gma-miR10438	miR98_R193_L22	17	21439662	21439776	-	gma-miR10438	miR98_R193_L22	gma-miR10438.v1	miR361_R27_L22	0.23874556542302824	0.5065081240788142	0.0	0	220	193	27
canonical-isomiR	gma-miR10439	gma-miR10439	miR240_R55_L21	18	16399322	16399435	+	gma-miR10439	miR240_R55_L21	gma-miR10439.v1	miR1429_R2_L22	0.6670480331337972	0.03512235466087341	0.0	0	57	55	2
canonical-isomiR	gma-miR10440	gma-miR10440	miR61_R311_L21	18	51081103	51081346	+	gma-miR10440	miR61_R311_L21	gma-miR10440.v1	miR153_R105_L21	-0.5425983269033247	0.10511263881886963	0.0	0	416	311	105
canonical-isomiR	gma-miR10440	gma-miR10440-5p	miR168_R96_L21	18	51081104	51081345	+	gma-miR10440-5p	miR168_R96_L21	gma-miR10440-5p.v1	miR367_R27_L22	-0.4471389192258399	0.19509917600149781	0.0	0	123	96	27
canonical-isomiR	gma-miR10442	gma-miR10442	miR113_R156_L21	18	29690630	29690841	+	gma-miR10442	miR113_R156_L21	gma-miR10442.v1	miR197_R73_L21	0.6979086240836511	0.02481844760715907	0.0	0	229	156	73
canonical-isomiR	gma-miR10448a	gma-miR10448a	miR38_R445_L22	9	10412968	10413222	-	gma-miR10448a	miR38_R445_L22	gma-miR10448a.v1	miR579_R11_L22	0.11238373733882559	0.7572420932275192	0.0	0	456	445	11
canonical-isomiR	gma-miR1507a	gma-miR1507a	miR9_R713_L22	13	28212586	28212671	+	gma-miR1507a	miR9_R713_L22	gma-miR1507a.v1	miR201_R72_L21	-0.47046553496368043	0.1699882905218147	0.0	0	785	713	72
canonical-isomiR	gma-miR1507b	gma-miR1507b	miR201_R72_L21	17	5975930	5976013	+	gma-miR1507b	miR201_R72_L21	gma-miR1507b.v1	miR9_R713_L22	-0.47046553496368043	0.1699882905218147	0.0	0	785	72	713
isomiR-isomiR	gma-miR1507c	gma-miR1507c-3p		9	16474263	16474341	-	gma-miR1507c-3p.v1	miR51_R340_L22	gma-miR1507c-3p.v2	miR213_R67_L22	0.41533338679268617	0.23262834476809724	0.0	0	407	340	67
canonical-isomiR	gma-miR1507c	gma-miR1507c-5p	miR355_R28_L21	9	16474264	16474340	-	gma-miR1507c-5p	miR355_R28_L21	gma-miR1507c-5p.v1	miR99_R193_L21	0.02621078201575064	0.9427032882893585	0.0	0	221	28	193
canonical-isomiR	gma-miR1507c	gma-miR1507c-5p	miR355_R28_L21	9	16474264	16474340	-	gma-miR1507c-5p	miR355_R28_L21	gma-miR1507c-5p.v2	miR719_R8_L22	0.7591438162962274	0.010880332763789273	0.0	0	36	28	8
canonical-isomiR	gma-miR1507c	gma-miR1507c-5p	miR355_R28_L21	9	16474264	16474340	-	gma-miR1507c-5p	miR355_R28_L21	gma-miR1507c-5p.v3	miR739_R7_L20	0.09867690206646976	0.7862338412611416	0.0	0	35	28	7
isomiR-isomiR	gma-miR1507c	gma-miR1507c-5p	miR355_R28_L21	9	16474264	16474340	-	gma-miR1507c-5p.v1	miR99_R193_L21	gma-miR1507c-5p.v2	miR719_R8_L22	-0.22962643975722702	0.5233505899754859	0.0	0	201	193	8
isomiR-isomiR	gma-miR1507c	gma-miR1507c-5p	miR355_R28_L21	9	16474264	16474340	-	gma-miR1507c-5p.v1	miR99_R193_L21	gma-miR1507c-5p.v3	miR739_R7_L20	-0.14921251143757552	0.6807682110736981	0.0	0	200	193	7
isomiR-isomiR	gma-miR1507c	gma-miR1507c-5p	miR355_R28_L21	9	16474264	16474340	-	gma-miR1507c-5p.v2	miR719_R8_L22	gma-miR1507c-5p.v3	miR739_R7_L20	-0.1111111111111111	0.759922968348739	0.0	0	15	8	7
canonical-isomiR	gma-miR1508b	gma-miR1508b	miR21_R644_L21	16	34124746	34124818	+	gma-miR1508b	miR21_R644_L21	gma-miR1508b.v1	miR1402_R2_L22	0.017334339658147506	0.9620925237798859	0.0015503875968992248	1	645	644	2
canonical-isomiR	gma-miR1509a	gma-miR1509a	miR3_R751_L22	17	9863925	9864017	+	gma-miR1509a	miR3_R751_L22	gma-miR1509a.v1	miR797_R6_L21	-0.12162153948435933	0.737853394599267	0.0	0	757	751	6
isomiR-isomiR	gma-miR1509b	gma-miR1509b		5	1347828	1347918	+	gma-miR1509b.v1	miR42_R402_L22	gma-miR1509b.v2	miR294_R39_L20	0.44958696563681244	0.19236793371779976	0.0	0	441	402	39
isomiR-isomiR	gma-miR1510a	gma-miR1510a-3p		16	32507570	32507645	+	gma-miR1510a-3p.v1	miR58_R319_L21	gma-miR1510a-3p.v2	miR483_R15_L22	0.4221637345836134	0.22424922520817897	0.003003003003003003	1	333	319	15
isomiR-isomiR	gma-miR1510a	gma-miR1510a-3p		16	32507570	32507645	+	gma-miR1510a-3p.v1	miR58_R319_L21	gma-miR1510a-3p.v3	miR1080_R3_L22	0.10522018669867103	0.7723622276165607	0.003115264797507788	1	321	319	3
isomiR-isomiR	gma-miR1510a	gma-miR1510a-3p		16	32507570	32507645	+	gma-miR1510a-3p.v2	miR483_R15_L22	gma-miR1510a-3p.v3	miR1080_R3_L22	-0.18080103124223712	0.6171747226089229	0.0	0	18	15	3
canonical-isomiR	gma-miR1510b	gma-miR1510b-3p	miR58_R319_L21	2	6672229	6672298	+	gma-miR1510b-3p	miR58_R319_L21	gma-miR1510b-3p.v1	miR471_R17_L22	0.06098344981725466	0.8670937143825352	0.0	0	336	319	17
canonical-isomiR	gma-miR1510b	gma-miR1510b-5p	miR102_R187_L22	2	6672229	6672298	+	gma-miR1510b-5p	miR102_R187_L22	gma-miR1510b-5p.v1	miR26_R556_L21	-0.0665761261074591	0.8550085202281079	0.0	0	743	187	556
canonical-isomiR	gma-miR1510b	gma-miR1510b-5p	miR102_R187_L22	2	6672229	6672298	+	gma-miR1510b-5p	miR102_R187_L22	gma-miR1510b-5p.v2	miR712_R8_L20	0.3798650271526889	0.2789253959086469	0.0	0	194	187	7
isomiR-isomiR	gma-miR1510b	gma-miR1510b-5p	miR102_R187_L22	2	6672229	6672298	+	gma-miR1510b-5p.v1	miR26_R556_L21	gma-miR1510b-5p.v2	miR712_R8_L20	0.407491514503779	0.24246305086017697	0.0	0	563	556	7
canonical-isomiR	gma-miR1511	gma-miR1511	miR53_R333_L20	18	20653964	20654045	+	gma-miR1511	miR53_R333_L20	gma-miR1511.v1	miR34_R456_L21	-0.047867142797303	0.8955302122373945	0.0	0	789	333	456
canonical-isomiR	gma-miR1511	gma-miR1511-5p	miR241_R55_L21	18	20653963	20654046	+	gma-miR1511-5p	miR241_R55_L21	gma-miR1511-5p.v1	miR1063_R4_L22	-0.031623521356546655	0.9308926852440411	0.0	0	59	55	4
canonical-isomiR	gma-miR1512b	gma-miR1512b	miR177_R88_L22	2	8720882	8720957	-	gma-miR1512b	miR177_R88_L22	gma-miR1512b.v1	miR512_R14_L22	0.6257963269871621	0.05294868161181111	0.0	0	102	88	14
canonical-isomiR	gma-miR1512c	gma-miR1512c	miR93_R204_L22	2	8711839	8711924	-	gma-miR1512c	miR93_R204_L22	gma-miR1512c.v1	miR618_R10_L21	0.580410784298797	0.07854831577212276	0.0	0	214	204	10
canonical-isomiR	gma-miR1513b	gma-miR1513b-5p	miR196_R74_L21	20	228281	228337	-	gma-miR1513b-5p	miR196_R74_L21	gma-miR1513b-5p.v1	miR1496_R2_L20	0.6727769411418847	0.03302340065807187	0.0	0	76	74	2
isomiR-isomiR	gma-miR1514a	gma-miR1514a-5p		7	45057363	45057443	-	gma-miR1514a-5p.v1	miR59_R318_L22	gma-miR1514a-5p.v2	miR1111_R3_L22	0.3479556806124893	0.3245006201997698	0.0	0	321	318	3
canonical-isomiR	gma-miR1515a	gma-miR1515a	miR36_R451_L22	1	51867371	51867497	+	gma-miR1515a	miR36_R451_L22	gma-miR1515a.v1	miR215_R64_L21	0.8281118289396725	0.0030863906012715252	0.0	0	515	451	64
canonical-isomiR	gma-miR1515b	gma-miR1515b	miR36_R451_L22	11	6661763	6661889	-	gma-miR1515b	miR36_R451_L22	gma-miR1515b.v1	miR215_R64_L21	0.8281118289396725	0.0030863906012715252	0.0	0	515	451	64
canonical-isomiR	gma-miR1523c	gma-miR1523c	miR1011_R4_L22	6	19114663	19114753	+	gma-miR1523c	miR1011_R4_L22	gma-miR1523c.v1	miR1220_R3_L22	-0.11111111111111108	0.759922968348739	0.0	0	7	4	3
canonical-isomiR	gma-miR156a	gma-miR156a	miR10_R708_L20	17	5935262	5935346	-	gma-miR156a	miR10_R708_L20	gma-miR156a.v1	miR572_R12_L21	0.06523767986845073	0.8578983822904475	0.0	0	720	708	12
canonical-isomiR	gma-miR156a	gma-miR156a	miR10_R708_L20	17	5935262	5935346	-	gma-miR156a	miR10_R708_L20	gma-miR156a.v2	miR1559_R2_L20	-0.03016624593353029	0.9340713540814767	0.0	0	710	708	2
isomiR-isomiR	gma-miR156a	gma-miR156a	miR10_R708_L20	17	5935262	5935346	-	gma-miR156a.v1	miR572_R12_L21	gma-miR156a.v2	miR1559_R2_L20	0.6068629174089631	0.06282812542528156	0.0	0	14	12	2
canonical-isomiR	gma-miR156ad	gma-miR156ad	miR298_R39_L22	14	9451881	9451971	+	gma-miR156ad	miR298_R39_L22	gma-miR156ad.v1	miR313_R35_L21	0.3463105593985112	0.3269488448498464	0.0	0	74	39	35
canonical-isomiR	gma-miR156ae	gma-miR156ae	miR33_R465_L21	19	8864612	8864697	+	gma-miR156ae	miR33_R465_L21	gma-miR156ae.v1	miR366_R27_L22	0.18475289637426848	0.6093678150373383	0.0	0	492	465	27
canonical-isomiR	gma-miR156ae	gma-miR156ae	miR33_R465_L21	19	8864612	8864697	+	gma-miR156ae	miR33_R465_L21	gma-miR156ae.v2	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
isomiR-isomiR	gma-miR156ae	gma-miR156ae	miR33_R465_L21	19	8864612	8864697	+	gma-miR156ae.v1	miR366_R27_L22	gma-miR156ae.v2	miR1271_R2_L20	-0.11111111111111108	0.759922968348739	0.0	0	29	27	2
canonical-isomiR	gma-miR156d	gma-miR156d	miR33_R465_L21	8	3912005	3912118	+	gma-miR156d	miR33_R465_L21	gma-miR156d.v1	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
canonical-isomiR	gma-miR156d	gma-miR156d-3p	miR228_R60_L21	8	3912006	3912117	+	gma-miR156d-3p	miR228_R60_L21	gma-miR156d-3p.v1	miR1562_R2_L22	0.20727808267047704	0.565563007245428	0.0	0	62	60	2
isomiR-isomiR	gma-miR156e	gma-miR156e		18	59793871	59793957	-	gma-miR156e.v1	miR33_R465_L21	gma-miR156e.v2	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
canonical-isomiR	gma-miR156e	gma-miR156e-3p	miR269_R45_L21	18	59793872	59793956	-	gma-miR156e-3p	miR269_R45_L21	gma-miR156e-3p.v1	miR904_R5_L22	0.6192979651785928	0.05621413529448539	0.0	0	50	45	5
isomiR-isomiR	gma-miR156g	gma-miR156g		19	8864607	8864692	-	gma-miR156g.v1	miR33_R465_L21	gma-miR156g.v2	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
canonical-isomiR	gma-miR156h	gma-miR156h	miR10_R708_L20	4	5023704	5023786	-	gma-miR156h	miR10_R708_L20	gma-miR156h.v1	miR517_R14_L22	0.15516001832179066	0.668641336606023	0.0	0	722	708	14
canonical-isomiR	gma-miR156i	gma-miR156i	miR33_R465_L21	5	44724771	44724880	+	gma-miR156i	miR33_R465_L21	gma-miR156i.v1	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
canonical-isomiR	gma-miR156i	gma-miR156i-3p	miR228_R60_L21	5	44724772	44724879	+	gma-miR156i-3p	miR228_R60_L21	gma-miR156i-3p.v1	miR1562_R2_L22	0.20727808267047704	0.565563007245428	0.0	0	62	60	2
canonical-isomiR	gma-miR156j	gma-miR156j	miR33_R465_L21	2	7910303	7910390	+	gma-miR156j	miR33_R465_L21	gma-miR156j.v1	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
isomiR-isomiR	gma-miR156k	gma-miR156k		6	4755925	4756012	-	gma-miR156k.v1	miR10_R708_L20	gma-miR156k.v2	miR517_R14_L22	0.15516001832179066	0.668641336606023	0.0	0	722	708	14
canonical-isomiR	gma-miR156l	gma-miR156l	miR33_R465_L21	7	9356060	9356164	+	gma-miR156l	miR33_R465_L21	gma-miR156l.v1	miR1271_R2_L20	0.04885349257328464	0.8933876755936251	0.0	0	467	465	2
canonical-isomiR	gma-miR156l	gma-miR156l-3p	miR528_R13_L22	7	9356060	9356164	+	gma-miR156l-3p	miR528_R13_L22	gma-miR156l-3p.v1	miR1142_R3_L21	-0.09423224641976972	0.7956876323993394	0.0	0	16	13	3
canonical-isomiR	gma-miR156m	gma-miR156m-3p	miR169_R96_L22	9	42309074	42309174	-	gma-miR156m-3p	miR169_R96_L22	gma-miR156m-3p.v1	miR620_R10_L21	-0.21894790075635184	0.5433585330890283	0.0	0	106	96	10
isomiR-isomiR	gma-miR156n	gma-miR156n		14	10686561	10686851	-	gma-miR156n.v1	miR10_R708_L20	gma-miR156n.v2	miR517_R14_L22	0.15516001832179066	0.668641336606023	0.0	0	722	708	14
isomiR-isomiR	gma-miR156o	gma-miR156o		17	38001846	38002019	+	gma-miR156o.v1	miR10_R708_L20	gma-miR156o.v2	miR517_R14_L22	0.15516001832179066	0.668641336606023	0.0	0	722	708	14
canonical-isomiR	gma-miR156p	gma-miR156p	miR219_R63_L21	11	481672	481753	-	gma-miR156p	miR219_R63_L21	gma-miR156p.v1	miR1105_R3_L20	0.34438499746376394	0.32982651478858793	0.0	0	66	63	3
canonical-isomiR	gma-miR156q	gma-miR156q	miR310_R35_L21	13	22854074	22854160	+	gma-miR156q	miR310_R35_L21	gma-miR156q.v1	miR10_R708_L20	-0.3909413971389356	0.2639685431897863	0.0450070323488045	32	711	35	708
canonical-isomiR	gma-miR156r	gma-miR156r	miR329_R32_L21	16	6521739	6521885	+	gma-miR156r	miR329_R32_L21	gma-miR156r.v1	miR1012_R4_L20	-0.5213365954644753	0.12225864851027907	0.0	0	36	32	4
canonical-isomiR	gma-miR156s	gma-miR156s	miR310_R35_L21	17	4051035	4051118	-	gma-miR156s	miR310_R35_L21	gma-miR156s.v1	miR10_R708_L20	-0.3909413971389356	0.2639685431897863	0.0450070323488045	32	711	35	708
canonical-isomiR	gma-miR156s	gma-miR156s-3p	miR298_R39_L22	17	4051035	4051118	-	gma-miR156s-3p	miR298_R39_L22	gma-miR156s-3p.v1	miR313_R35_L21	0.3463105593985112	0.3269488448498464	0.0	0	74	39	35
canonical-isomiR	gma-miR156t	gma-miR156t	miR219_R63_L21	1	58618275	58618356	+	gma-miR156t	miR219_R63_L21	gma-miR156t.v1	miR1105_R3_L20	0.34438499746376394	0.32982651478858793	0.0	0	66	63	3
canonical-isomiR	gma-miR156u	gma-miR156u	miR10_R708_L20	2	42370052	42370136	+	gma-miR156u	miR10_R708_L20	gma-miR156u.v1	miR572_R12_L21	0.06523767986845073	0.8578983822904475	0.0	0	720	708	12
canonical-isomiR	gma-miR156u	gma-miR156u	miR10_R708_L20	2	42370052	42370136	+	gma-miR156u	miR10_R708_L20	gma-miR156u.v2	miR1559_R2_L20	-0.03016624593353029	0.9340713540814767	0.0	0	710	708	2
isomiR-isomiR	gma-miR156u	gma-miR156u	miR10_R708_L20	2	42370052	42370136	+	gma-miR156u.v1	miR572_R12_L21	gma-miR156u.v2	miR1559_R2_L20	0.6068629174089631	0.06282812542528156	0.0	0	14	12	2
canonical-isomiR	gma-miR159a	gma-miR159a-3p	miR48_R362_L21	9	42136977	42137286	+	gma-miR159a-3p	miR48_R362_L21	gma-miR159a-3p.v1	miR634_R9_L20	0.19286816815160684	0.5934475734378687	0.0	0	370	362	8
canonical-isomiR	gma-miR159a	gma-miR159a-3p	miR48_R362_L21	9	42136977	42137286	+	gma-miR159a-3p	miR48_R362_L21	gma-miR159a-3p.v2	miR960_R4_L22	0.10223527462438461	0.7786832075297236	0.0	0	366	362	4
isomiR-isomiR	gma-miR159a	gma-miR159a-3p	miR48_R362_L21	9	42136977	42137286	+	gma-miR159a-3p.v1	miR634_R9_L20	gma-miR159a-3p.v2	miR960_R4_L22	-0.20946689462107404	0.5613719731760087	0.0	0	12	8	4
canonical-isomiR	gma-miR159b	gma-miR159b-3p	miR698_R8_L21	7	5419053	5419216	-	gma-miR159b-3p	miR698_R8_L21	gma-miR159b-3p.v1	miR420_R21_L20	0.0347373997610836	0.9241035654564231	0.11538461538461539	3	26	8	21
canonical-isomiR	gma-miR159c	gma-miR159c	miR921_R5_L21	16	2790795	2790982	-	gma-miR159c	miR921_R5_L21	gma-miR159c.v1	miR420_R21_L20	0.9321874573660168	8.519842412918157e-05	0.0	0	26	5	21
canonical-isomiR	gma-miR159e	gma-miR159e-3p	miR48_R362_L21	7	9540509	9540681	-	gma-miR159e-3p	miR48_R362_L21	gma-miR159e-3p.v1	miR634_R9_L20	0.19286816815160684	0.5934475734378687	0.0	0	370	362	8
canonical-isomiR	gma-miR159e	gma-miR159e-3p	miR48_R362_L21	7	9540509	9540681	-	gma-miR159e-3p	miR48_R362_L21	gma-miR159e-3p.v2	miR960_R4_L22	0.10223527462438461	0.7786832075297236	0.0	0	366	362	4
isomiR-isomiR	gma-miR159e	gma-miR159e-3p	miR48_R362_L21	7	9540509	9540681	-	gma-miR159e-3p.v1	miR634_R9_L20	gma-miR159e-3p.v2	miR960_R4_L22	-0.20946689462107404	0.5613719731760087	0.0	0	12	8	4
canonical-isomiR	gma-miR159f	gma-miR159f-3p	miR698_R8_L21	16	2780900	2781135	-	gma-miR159f-3p	miR698_R8_L21	gma-miR159f-3p.v1	miR420_R21_L20	0.0347373997610836	0.9241035654564231	0.11538461538461539	3	26	8	21
canonical-isomiR	gma-miR159g	gma-miR159g	miR420_R21_L20	7	5426968	5427128	-	gma-miR159g	miR420_R21_L20	gma-miR159g.v1	miR1169_R3_L21	0.1703284655350015	0.6380292213352475	0.09090909090909091	2	22	21	3
canonical-isomiR	gma-miR159h	gma-miR159h	miR522_R13_L20	9	42826146	42826344	-	gma-miR159h	miR522_R13_L20	gma-miR159h.v1	miR750_R7_L21	-0.22561168707765647	0.5308372985197441	0.0	0	20	13	7
canonical-isomiR	gma-miR159i	gma-miR159i	miR921_R5_L21	16	2794122	2794285	-	gma-miR159i	miR921_R5_L21	gma-miR159i.v1	miR420_R21_L20	0.9321874573660168	8.519842412918157e-05	0.0	0	26	5	21
canonical-isomiR	gma-miR160a	gma-miR160a-5p	miR25_R563_L21	10	46946061	46946142	-	gma-miR160a-5p	miR25_R563_L21	gma-miR160a-5p.v1	miR325_R32_L20	0.4742139060718043	0.16614345088571708	0.0	0	595	563	32
canonical-isomiR	gma-miR160b	gma-miR160b	miR325_R32_L20	20	45985584	45985664	+	gma-miR160b	miR325_R32_L20	gma-miR160b.v1	miR25_R563_L21	0.4742139060718043	0.16614345088571708	0.0	0	595	32	563
canonical-isomiR	gma-miR160b	gma-miR160b	miR325_R32_L20	20	45985584	45985664	+	gma-miR160b	miR325_R32_L20	gma-miR160b.v2	miR350_R28_L21	0.3397522019768607	0.3368033094009854	0.0	0	60	32	28
isomiR-isomiR	gma-miR160b	gma-miR160b	miR325_R32_L20	20	45985584	45985664	+	gma-miR160b.v1	miR25_R563_L21	gma-miR160b.v2	miR350_R28_L21	-0.12323063201732572	0.7344894163157394	0.0	0	591	563	28
canonical-isomiR	gma-miR160c	gma-miR160c	miR325_R32_L20	19	45412051	45412132	-	gma-miR160c	miR325_R32_L20	gma-miR160c.v1	miR25_R563_L21	0.4742139060718043	0.16614345088571708	0.0	0	595	32	563
canonical-isomiR	gma-miR160c	gma-miR160c	miR325_R32_L20	19	45412051	45412132	-	gma-miR160c	miR325_R32_L20	gma-miR160c.v2	miR350_R28_L21	0.3397522019768607	0.3368033094009854	0.0	0	60	32	28
isomiR-isomiR	gma-miR160c	gma-miR160c	miR325_R32_L20	19	45412051	45412132	-	gma-miR160c.v1	miR25_R563_L21	gma-miR160c.v2	miR350_R28_L21	-0.12323063201732572	0.7344894163157394	0.0	0	591	563	28
canonical-isomiR	gma-miR160d	gma-miR160d	miR325_R32_L20	13	26090721	26090802	-	gma-miR160d	miR325_R32_L20	gma-miR160d.v1	miR25_R563_L21	0.4742139060718043	0.16614345088571708	0.0	0	595	32	563
canonical-isomiR	gma-miR160d	gma-miR160d	miR325_R32_L20	13	26090721	26090802	-	gma-miR160d	miR325_R32_L20	gma-miR160d.v2	miR350_R28_L21	0.3397522019768607	0.3368033094009854	0.0	0	60	32	28
isomiR-isomiR	gma-miR160d	gma-miR160d	miR325_R32_L20	13	26090721	26090802	-	gma-miR160d.v1	miR25_R563_L21	gma-miR160d.v2	miR350_R28_L21	-0.12323063201732572	0.7344894163157394	0.0	0	591	563	28
canonical-isomiR	gma-miR160e	gma-miR160e	miR325_R32_L20	3	41111733	41111814	-	gma-miR160e	miR325_R32_L20	gma-miR160e.v1	miR25_R563_L21	0.4742139060718043	0.16614345088571708	0.0	0	595	32	563
canonical-isomiR	gma-miR160e	gma-miR160e	miR325_R32_L20	3	41111733	41111814	-	gma-miR160e	miR325_R32_L20	gma-miR160e.v2	miR350_R28_L21	0.3397522019768607	0.3368033094009854	0.0	0	60	32	28
isomiR-isomiR	gma-miR160e	gma-miR160e	miR325_R32_L20	3	41111733	41111814	-	gma-miR160e.v1	miR25_R563_L21	gma-miR160e.v2	miR350_R28_L21	-0.12323063201732572	0.7344894163157394	0.0	0	591	563	28
canonical-isomiR	gma-miR160f	gma-miR160f	miR25_R563_L21	10	4886951	4887032	-	gma-miR160f	miR25_R563_L21	gma-miR160f.v1	miR325_R32_L20	0.4742139060718043	0.16614345088571708	0.0	0	595	563	32
canonical-isomiR	gma-miR160f	gma-miR160f	miR25_R563_L21	10	4886951	4887032	-	gma-miR160f	miR25_R563_L21	gma-miR160f.v2	miR350_R28_L21	-0.12323063201732572	0.7344894163157394	0.0	0	591	563	28
isomiR-isomiR	gma-miR160f	gma-miR160f	miR25_R563_L21	10	4886951	4887032	-	gma-miR160f.v1	miR325_R32_L20	gma-miR160f.v2	miR350_R28_L21	0.3397522019768607	0.3368033094009854	0.0	0	60	32	28
isomiR-isomiR	gma-miR162a	gma-miR162a		6	20207914	20207997	-	gma-miR162a.v1	miR4_R751_L21	gma-miR162a.v2	miR887_R5_L22	-0.30462053369226877	0.39210972559266755	0.0	0	756	751	5
canonical-isomiR	gma-miR162b	gma-miR162b	miR4_R751_L21	5	1429251	1429335	+	gma-miR162b	miR4_R751_L21	gma-miR162b.v1	miR887_R5_L22	-0.30462053369226877	0.39210972559266755	0.0	0	756	751	5
