Query_A	Query_B	Chr	Strand	A_start	A_end	B_start	B_end	Overlap_bp	Overlap_over_min_len
Gma-MIR169s|PmiREN0012118|Gm17:4596486-4596625(-)	Gma-MIRN15225|PmiREN0012981|Gm17:4596486-4596625(-)	Chr17	minus	4637274	4637369	4637274	4637369	96	1.0000
Gma-MIR169w|PmiREN0012122|Gm09:5314009-5314152(+)	Gma-MIRN6738|PmiREN0013346|Gm09:5314012-5314149(+)	Chr09	plus	5318932	5319034	5318935	5319031	97	1.0000
Gma-MIR169x|PmiREN0012123|Gm09:5302326-5302430(+)	Gma-MIRN15099|PmiREN0012970|Gm09:5302326-5302430(+)	Chr09	plus	5307077	5307140	5307077	5307140	64	1.0000
Gma-MIR2111a|PmiREN0012317|Gm01:33667553-33667661(+)	Gma-MIR2111g|PmiREN0012558|Gm01:33667553-33667661(+)	Chr01	plus	35185898	35185965	35185898	35185965	68	1.0000
Gma-MIR2119b|PmiREN0012326|Gm02:11041519-11041651(-)	Gma-MIRN17434|PmiREN0013118|Gm02:11041489-11041686(-)	Chr02	minus	11184131	11184222	11184101	11184257	92	1.0000
Gma-MIR319d|PmiREN0012541|Gm10:48985799-48986046(-)	Gma-MIR4414|PmiREN0012165|Gm10:48985842-48985997(-)	Chr10	minus	51436232	51436438	51436275	51436389	115	1.0000
Gma-MIR3627a|PmiREN0012435|Gm19:1930778-1930940(+)	Gma-MIR3627b|PmiREN0012561|Gm19:1930778-1930940(+)	Chr19	plus	1918814	1918935	1918814	1918935	122	1.0000
Gma-MIR393d|PmiREN0012187|Gm10:25720551-25720693(-)	Gma-MIR393g|PmiREN0012190|Gm20:26024246-26024388(-)	Chr10	minus	27972760	27972861	27972761	27972861	101	1.0000
Gma-MIR397a|PmiREN0012236|Gm08:4642859-4642991(-)	Gma-MIRN174a|PmiREN0012956|Gm08:4642859-4642991(-)	Chr08	minus	4662114	4662205	4662114	4662205	92	1.0000
Gma-MIR397b|PmiREN0012237|Gm13:34999753-34999899(-)	Gma-MIRN174b|PmiREN0012957|Gm13:34999753-34999899(-)	Chr13	minus	36660527	36660632	36660527	36660632	106	1.0000
Gma-MIR397c|PmiREN0012238|Gm07:17355073-17355183(-)	Gma-MIRN8a|PmiREN0013063|Gm07:17355073-17355183(-)	Chr07	minus	17443804	17443873	17443804	17443873	70	1.0000
Gma-MIR397d|PmiREN0012239|Gm07:36007776-36007908(+)	Gma-MIRN8b|PmiREN0013062|Gm07:36007776-36007908(+)	Chr07	plus	37651652	37651743	37651652	37651743	92	1.0000
Gma-MIR399d|PmiREN0012248|Gm05:35263333-35263436(-)	Gma-MIR399r|PmiREN0012547|Gm05:35263324-35263442(-)	Chr05	minus	38264681	38264760	38264682	38264759	78	1.0000
Gma-MIR4348a|PmiREN0012331|Gm12:38771179-38771351(-)	Gma-MIRN10221|PmiREN0013108|Gm12:38771140-38771390(-)	Chr12	minus	41581532	41581663	41581493	41581702	132	1.0000
Gma-MIR4348c|PmiREN0012333|Gm02:10841133-10841256(+)	Gma-MIRN48b|PmiREN0013314|Gm02:10841118-10841272(+)	Chr02	plus	10987731	10987844	10987731	10987844	114	1.0000
Gma-MIR4374b|PmiREN0012344|Gm15:42588786-42589036(+)	Gma-MIRN14781|PmiREN0012945|Gm15:42588775-42589033(+)	Chr15	plus	44002340	44002559	44002341	44002558	218	1.0000
Gma-MIR4382a|PmiREN0012347|Gm06:18697566-18697747(-)	Gma-MIR4382c|PmiREN0012349|Gm09:14234420-14234591(-)	Chr06	minus	18716422	18716562	18716422	18716560	139	1.0000
Gma-MIR4382d|PmiREN0012350|Gm19:14386684-14386770(+)	Gma-MIR4382f|PmiREN0012562|Gm09:14234396-14234482(-)	Chr19	plus	14731647	14731692	14731647	14731692	46	1.0000
Gma-MIR4399|PmiREN0012360|Gm03:24450496-24450664(+)	Gma-MIRN15364|PmiREN0012992|Gm03:24450484-24450676(+)	Chr03	plus	25458081	25458208	25458069	25458220	128	1.0000
Gma-MIR472a|PmiREN0012274|Gm10:49238064-49238171(-)	Gma-MIR472b|PmiREN0012549|Gm10:49238064-49238171(-)	Chr10	minus	51693813	51693879	51693813	51693879	67	1.0000
Gma-MIR472c|PmiREN0012272|Gm20:36438916-36439023(+)	Gma-MIR472d|PmiREN0012550|Gm20:36438916-36439023(+)	Chr20	plus	40703088	40703154	40703088	40703154	67	1.0000
Gma-MIR477a|PmiREN0012380|Gm08:1774137-1774242(+)	Gma-MIR477b|PmiREN0012551|Gm08:1774137-1774242(+)	Chr08	plus	1787941	1788005	1787941	1788005	65	1.0000
Gma-MIR482b|PmiREN0012324|Gm10:49242455-49242582(-)	Gma-MIR482d|PmiREN0012552|Gm10:49242455-49242582(-)	Chr10	minus	51698210	51698296	51698210	51698296	87	1.0000
Gma-MIR482e|PmiREN0012323|Gm20:36428347-36428494(+)	Gma-MIR482f|PmiREN0012553|Gm20:36428347-36428494(+)	Chr20	plus	40692152	40692258	40692152	40692258	107	1.0000
Gma-MIR4994|PmiREN0012375|Gm16:36310076-36310199(+)	Gma-MIRN12866|PmiREN0013289|Gm16:36310076-36310199(+)	Chr16	plus	36371814	36371896	36371814	36371896	83	1.0000
Gma-MIR5036b|PmiREN0012381|Gm05:39699987-39700117(+)	Gma-MIRN12863|PmiREN0013288|Gm05:39699986-39700118(+)	Chr05	plus	42640919	42641008	42640918	42641009	90	1.0000
Gma-MIR5281a|PmiREN0012391|Gm06:22048937-22049056(+)	Gma-MIR5281b|PmiREN0012392|Gm06:22048937-22049056(+)	Chr06	plus	21897372	21897450	21897372	21897450	79	1.0000
Gma-MIR5374|PmiREN0012396|Gm05:16774467-16774709(-)	Gma-MIRN914|PmiREN0013355|Gm05:16774467-16774709(-)	Chr05	minus	16907764	16907965	16907764	16907965	202	1.0000
Gma-MIR5375|PmiREN0012397|Gm16:2926705-2926902(+)	Gma-MIRN17446|PmiREN0013123|Gm16:2926676-2926931(+)	Chr16	plus	2902881	2903037	2902852	2903066	157	1.0000
Gma-MIR5667|PmiREN0012401|Gm07:5354550-5354655(-)	Gma-MIRN14976|PmiREN0012960|Gm07:5354550-5354655(-)	Chr07	minus	5373441	5373505	5373441	5373505	65	1.0000
Gma-MIR5670a|PmiREN0012403|Gm01:6390577-6390726(+)	Gma-MIR5670c|PmiREN0012569|Gm01:6390575-6390728(+)	Chr01	plus	6972344	6972452	6972342	6972454	109	1.0000
Gma-MIR5677|PmiREN0012411|Gm02:15244658-15244898(-)	Gma-MIRN354|PmiREN0012879|Gm02:15244658-15244898(-)	Chr02	minus	14818748	14818947	14818748	14818947	200	1.0000
Gma-MIR5761b|PmiREN0012414|Gm03:3793192-3793292(+)	Gma-MIR5761c|PmiREN0012571|Gm03:3793182-3793304(+)	Chr03	plus	3778681	3778762	3778681	3778762	82	1.0000
Gma-MIR5763a|PmiREN0012416|Gm13:35848159-35848335(-)	Gma-MIR5763b|PmiREN0012417|Gm13:35848159-35848335(-)	Chr10	plus	40560012	40560134	40560012	40560134	123	1.0000
Gma-MIR5763a|PmiREN0012416|Gm13:35848159-35848335(-)	Gma-MIR5763c|PmiREN0012418|Gm13:35848159-35848335(-)	Chr10	plus	40560012	40560134	40560012	40560134	123	1.0000
Gma-MIR5763b|PmiREN0012417|Gm13:35848159-35848335(-)	Gma-MIR5763c|PmiREN0012418|Gm13:35848159-35848335(-)	Chr10	plus	40560012	40560134	40560012	40560134	123	1.0000
Gma-MIR5766|PmiREN0012419|Gm16:2052996-2053246(-)	Gma-MIR5766a|PmiREN0012572|Gm16:2052998-2053256(-)	Chr16	minus	2018326	2018543	2018326	2018543	218	1.0000
Gma-MIR5770a|PmiREN0012422|Gm18:46643952-46644198(-)	Gma-MIR5770d|PmiREN0012574|Gm18:46643932-46644199(-)	Chr18	minus	48914099	48914323	48914098	48914324	225	1.0000
Gma-MIR5770b|PmiREN0012423|Gm07:16657242-16657503(-)	Gma-MIR5770c|PmiREN0012573|Gm07:16657233-16657512(-)	Chr07	minus	16776413	16776651	16776413	16776651	239	1.0000
Gma-MIR5778|PmiREN0012427|Gm06:47397346-47397491(+)	Gma-MIRN18287|PmiREN0013197|Gm06:47397346-47397491(+)	Chr06	plus	48644663	48644767	48644663	48644767	105	1.0000
Gma-MIR5783|PmiREN0012433|Gm07:41351541-41351643(+)	Gma-MIRN348|PmiREN0012881|Gm07:41351541-41351643(+)	Chr07	plus	42960326	42960387	42960326	42960387	62	1.0000
Gma-MIR5784|PmiREN0012434|Gm08:30180265-30180375(+)	Gma-MIRN342|PmiREN0013228|Gm08:30180257-30180385(+)	Chr08	plus	32661165	32661252	32661165	32661252	88	1.0000
Gma-MIR9727|PmiREN0012445|Gm14:6305744-6305906(-)	Gma-MIRN357|PmiREN0013305|Gm14:6305676-6305970(-)	Chr14	minus	6310200	6310321	6310132	6310385	122	1.0000
Gma-MIR9730|PmiREN0012447|Gm20:37537118-37537368(-)	Gma-MIRN18132|PmiREN0013180|Gm20:37537120-37537385(-)	Chr10	plus	50781880	50782104	50781880	50782104	225	1.0000
Gma-MIR9739|PmiREN0012452|Gm16:36309108-36309241(+)	Gma-MIRN349|PmiREN0012886|Gm16:36309112-36309237(+)	Chr16	plus	36370846	36370938	36370850	36370934	85	1.0000
Gma-MIR9745|PmiREN0012454|Gm19:50190971-50191109(+)	Gma-MIRN12365|PmiREN0013249|Gm19:50190966-50191114(+)	Chr19	plus	51151512	51151609	51151507	51151614	98	1.0000
Gma-MIR9755|PmiREN0012459|Gm01:23464737-23464845(-)	Gma-MIRN4443a|PmiREN0013349|Gm01:23464738-23464844(-)	Chr01	minus	25160579	25160646	25160580	25160645	66	1.0000
Gma-MIR9756|PmiREN0012460|Gm18:43609746-43609996(+)	Gma-MIRN6794|PmiREN0012895|Gm18:43609730-43609994(+)	Chr18	plus	45868193	45868416	45868193	45868416	224	1.0000
Gma-MIR9758|PmiREN0012462|Gm03:2755270-2755488(+)	Gma-MIRN17876|PmiREN0013160|Gm03:2755249-2755509(+)	Chr03	plus	2746528	2746691	2746507	2746712	164	1.0000
Gma-MIR9765|PmiREN0012468|Gm10:3577084-3577196(+)	Gma-MIRN330|PmiREN0013078|Gm10:3577084-3577196(+)	Chr10	plus	3738809	3738880	3738809	3738880	72	1.0000
Gma-MIRN10092|PmiREN0013101|Gm10:34079998-34080107(-)	Gma-MIRN4424a|PmiREN0013154|Gm02:39187611-39187722(-)	Chr02	minus	40879739	40879807	40879738	40879808	69	1.0000
Gma-MIRN334a|PmiREN0013283|Gm10:31504897-31505046(-)	Gma-MIRN334b|PmiREN0013284|Gm17:19286449-19286598(+)	Chr17	plus	19386658	19386766	19386658	19386766	109	1.0000
Gma-MIRN4405a|PmiREN0013022|Gm03:2817978-2818109(+)	Gma-MIRN4426a|PmiREN0013350|Gm03:2801048-2801185(+)	Chr03	plus	2798952	2799040	2798947	2799043	89	1.0000
Gma-MIRN4405a|PmiREN0013022|Gm03:2817978-2818109(+)	Gma-MIRN4426b|PmiREN0013351|Gm03:2805143-2805280(+)	Chr03	plus	2798952	2799040	2798947	2799043	89	1.0000
Gma-MIRN4405a|PmiREN0013022|Gm03:2817978-2818109(+)	Gma-MIRN4426c|PmiREN0013352|Gm03:2814087-2814224(+)	Chr03	plus	2798952	2799040	2798947	2799043	89	1.0000
Gma-MIRN4405a|PmiREN0013022|Gm03:2817978-2818109(+)	Gma-MIRN4426d|PmiREN0013170|Gm03:2858993-2859130(+)	Chr03	plus	2798952	2799040	2798947	2799043	89	1.0000
Gma-MIRN4405a|PmiREN0013022|Gm03:2817978-2818109(+)	Gma-MIRN4426e|PmiREN0013353|Gm03:2866529-2866666(+)	Chr03	plus	2798952	2799040	2798947	2799043	89	1.0000
Gma-MIRN4410a|PmiREN0013072|Gm03:29361465-29361736(+)	Gma-MIRN4410b|PmiREN0013073|Gm03:29391308-29391579(+)	Chr03	plus	30065422	30065652	30065422	30065652	231	1.0000
Gma-MIRN4411a|PmiREN0013074|Gm04:9062408-9062542(+)	Gma-MIRN4411b|PmiREN0013076|Gm15:44505369-44505500(+)	Chr01	minus	45585751	45585841	45585751	45585841	91	1.0000
Gma-MIRN4415b|PmiREN0013092|Gm04:4617454-4617636(-)	Gma-MIRN4415c|PmiREN0013099|Gm08:364035-364217(+)	Chr12	plus	4985706	4985847	4985706	4985847	142	1.0000
Gma-MIRN4420a|PmiREN0013131|Gm09:10673322-10673435(+)	Gma-MIRN4420b|PmiREN0013133|Gm09:10677037-10677150(-)	Chr06	plus	32643684	32643756	32643684	32643756	73	1.0000
Gma-MIRN4422a|PmiREN0013135|Gm10:29472407-29472613(+)	Gma-MIRN4422b|PmiREN0013136|Gm10:29472932-29473138(+)	Chr10	plus	31785613	31785778	31785613	31785778	166	1.0000
Gma-MIRN4426a|PmiREN0013350|Gm03:2801048-2801185(+)	Gma-MIRN4426b|PmiREN0013351|Gm03:2805143-2805280(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426a|PmiREN0013350|Gm03:2801048-2801185(+)	Gma-MIRN4426c|PmiREN0013352|Gm03:2814087-2814224(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426a|PmiREN0013350|Gm03:2801048-2801185(+)	Gma-MIRN4426d|PmiREN0013170|Gm03:2858993-2859130(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426a|PmiREN0013350|Gm03:2801048-2801185(+)	Gma-MIRN4426e|PmiREN0013353|Gm03:2866529-2866666(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426b|PmiREN0013351|Gm03:2805143-2805280(+)	Gma-MIRN4426c|PmiREN0013352|Gm03:2814087-2814224(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426b|PmiREN0013351|Gm03:2805143-2805280(+)	Gma-MIRN4426d|PmiREN0013170|Gm03:2858993-2859130(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426b|PmiREN0013351|Gm03:2805143-2805280(+)	Gma-MIRN4426e|PmiREN0013353|Gm03:2866529-2866666(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426c|PmiREN0013352|Gm03:2814087-2814224(+)	Gma-MIRN4426d|PmiREN0013170|Gm03:2858993-2859130(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426c|PmiREN0013352|Gm03:2814087-2814224(+)	Gma-MIRN4426e|PmiREN0013353|Gm03:2866529-2866666(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4426d|PmiREN0013170|Gm03:2858993-2859130(+)	Gma-MIRN4426e|PmiREN0013353|Gm03:2866529-2866666(+)	Chr03	plus	2798947	2799043	2798947	2799043	97	1.0000
Gma-MIRN4433e|PmiREN0013233|scaffold_58:55316-55421(+)	Gma-MIRN4433f|PmiREN0013234|scaffold_58:92533-92638(-)	Chr15	plus	31184947	31185011	31184947	31185011	65	1.0000
